1,4,5,2,3
33,121,125,36,106
34,122,126,38,107
28,95,126,39,109
32,47,124,40,92
28,34,120,39,49
26,30,110,39,39
27,31,100,72,23
28,29,98,116,30
31,30,93,128,40
33,35,91,132,40
32,54,96,133,35
91,101,97,136,30
119,147,96,146,24
123,142,91,149,38
132,170,86,150,90
141,185,99,143,144
155,183,94,92,135
57,175,117,71,93
32,90,127,51,56
36,79,111,33,49
35,79,95,34,62
32,79,92,37,68
33,80,92,38,66
36,82,91,40,73
35,83,89,40,79
25,84,88,41,74
26,91,86,40,72
28,98,84,40,75
41,122,127,38,108
40,108,126,38,109
32,50,127,39,110
37,41,125,38,76
39,33,116,51,44
38,32,106,108,40
36,29,89,136,58
32,33,103,129,68
32,37,123,132,54
28,40,127,147,48
29,56,123,162,47
47,77,116,162,46
101,156,115,143,32
109,152,111,121,38
108,158,100,120,93
105,169,92,124,117
106,168,99,135,141
78,178,126,147,158
54,86,129,155,133
51,61,148,120,37
49,79,147,41,31
42,78,102,32,65
36,77,90,35,69
29,77,90,36,70
26,77,89,37,73
44,77,87,40,73
66,77,85,40,72
75,115,83,40,72
62,120,125,38,111
56,70,126,39,96
42,52,125,38,72
66,41,123,48,59
69,33,113,122,47
76,39,114,152,65
64,32,133,145,108
56,40,152,129,107
48,57,154,136,76
46,64,148,153,59
79,63,135,168,51
106,53,131,154,61
123,104,126,120,59
129,142,126,106,50
124,140,134,85,54
118,141,150,99,71
111,134,150,113,124
108,130,136,131,149
99,104,124,146,167
86,69,134,164,65
83,75,148,89,13
91,85,110,29,55
94,88,87,29,63
90,85,89,33,56
90,83,88,35,58
95,86,86,36,53
94,102,84,34,54
94,125,81,38,56
71,106,126,39,103
59,55,121,38,67
64,51,109,59,50
104,34,115,124,57
118,45,108,151,44
120,54,128,157,62
106,43,159,150,125
97,54,167,153,131
94,77,172,160,110
109,63,171,170,102
128,62,163,168,112
130,85,146,159,119
136,117,130,146,118
145,149,122,135,127
145,139,122,115,125
137,130,174,75,116
127,127,186,99,104
121,125,172,146,103
118,123,159,139,109
114,111,133,138,74
99,92,122,139,34
81,83,121,119,44
83,101,111,69,29
103,119,92,33,25
116,117,88,32,34
117,112,87,31,60
113,108,85,54,84
110,106,86,128,92
65,98,123,39,60
56,65,118,47,56
82,51,129,118,56
127,38,120,159,54
153,48,119,150,46
150,73,156,159,57
141,62,173,151,135
137,82,181,160,151
141,101,181,165,143
147,94,179,176,138
142,134,171,174,142
133,166,125,149,139
127,168,124,147,139
147,166,108,167,146
161,157,123,175,159
159,150,170,168,155
149,141,190,154,142
143,130,186,151,121
139,128,177,161,103
135,127,161,163,103
125,119,150,156,98
113,102,140,153,70
88,80,130,148,63
76,86,117,100,79
85,110,102,51,88
114,118,115,64,92
130,122,122,100,103
130,121,124,85,115
52,106,116,38,81
44,71,129,84,73
83,54,136,137,73
152,50,125,151,51
170,39,135,172,56
169,66,172,168,66
165,81,186,168,164
163,132,190,156,175
162,144,189,158,168
161,158,190,183,164
160,175,178,172,163
144,171,122,144,134
121,177,122,172,138
125,179,92,133,142
157,173,129,152,172
160,162,173,164,188
155,155,192,162,182
155,150,194,158,165
154,140,183,178,136
153,133,172,174,103
146,133,170,169,110
135,126,178,165,116
123,112,162,155,85
97,83,137,150,65
84,71,113,136,76
79,98,94,129,97
110,114,108,122,107
131,123,118,118,104
45,102,124,45,90
50,64,138,119,102
117,61,127,143,97
167,61,117,155,63
168,42,140,169,49
176,62,179,152,96
179,106,195,161,178
177,170,194,147,183
173,179,191,168,183
174,180,193,194,186
175,181,182,159,170
155,176,128,152,129
122,171,110,172,130
113,182,125,105,135
151,185,154,138,176
163,181,177,149,189
159,167,186,149,197
160,164,175,138,182
164,161,170,172,164
162,147,159,173,125
158,139,128,172,110
149,140,139,167,129
141,130,181,152,122
121,115,170,145,94
94,79,148,142,59
87,68,106,129,65
77,99,83,127,92
115,112,97,136,112
40,90,128,75,99
81,65,118,141,107
149,68,108,148,108
171,68,125,149,77
169,47,150,155,62
176,76,181,157,126
180,131,200,168,185
184,180,197,154,191
183,183,192,177,190
185,182,195,193,193
180,183,192,152,172
161,177,153,130,131
129,164,106,122,119
138,169,117,100,152
148,186,152,126,170
165,196,156,147,187
165,186,148,133,199
166,175,120,124,193
167,168,141,166,178
166,157,168,172,149
162,148,114,169,135
158,148,95,138,147
151,141,165,150,133
139,130,169,147,121
115,108,170,148,101
92,69,142,145,55
84,83,86,122,61
91,106,83,123,87
76,93,121,99,121
109,82,100,146,104
169,81,82,144,105
177,80,113,145,85
173,64,161,148,82
177,98,188,159,142
182,166,199,176,196
188,193,197,163,196
190,192,196,178,196
192,190,197,197,198
193,187,198,146,163
166,176,180,123,118
114,156,158,120,103
124,147,156,130,128
155,184,159,141,174
162,196,162,139,190
169,196,154,118,198
170,185,82,146,195
168,175,130,169,181
170,163,178,173,150
167,161,122,158,141
163,157,130,108,154
157,150,164,158,153
151,138,169,148,142
133,126,174,140,132
110,90,164,152,90
90,70,113,133,51
83,96,78,109,63
105,97,109,122,121
116,98,87,148,113
180,81,79,142,99
183,79,109,139,82
179,81,164,140,97
186,129,192,161,170
187,186,198,171,203
190,201,199,167,200
194,201,198,178,202
197,199,197,192,203
193,190,197,159,161
152,174,187,119,109
118,153,197,123,134
150,136,199,133,167
147,179,189,128,179
162,194,197,139,197
171,199,193,162,198
169,193,122,111,185
174,181,142,139,158
170,172,175,177,158
172,167,140,126,162
164,163,165,84,136
150,159,181,132,154
159,142,181,131,157
140,132,175,133,149
129,111,167,148,134
104,69,127,128,74
91,85,77,100,55
93,98,98,99,92
122,101,78,140,119
184,71,87,144,90
185,72,121,131,78
189,95,171,139,112
203,156,194,159,177
201,195,200,169,198
201,202,199,173,200
203,201,196,184,202
199,203,197,193,204
187,189,194,172,173
148,156,177,143,119
111,156,167,145,138
140,132,175,136,160
146,171,175,170,192
169,187,182,169,196
170,196,169,178,190
165,197,125,121,158
164,190,164,134,150
173,181,169,166,170
177,173,152,111,162
164,161,179,75,131
125,153,185,118,139
143,147,184,88,151
149,141,191,128,160
138,125,177,151,166
122,77,124,117,121
101,72,73,86,57
94,83,105,85,89
121,82,92,122,108
173,53,97,138,89
186,63,116,134,75
192,130,169,148,133
210,175,193,160,187
214,193,199,174,198
213,199,200,177,198
210,199,196,185,198
202,203,197,195,198
188,189,188,167,184
156,129,155,127,147
114,136,136,123,137
142,80,163,101,164
159,142,176,139,189
164,175,169,150,184
161,197,153,151,177
148,198,121,108,165
136,193,169,92,106
159,186,172,155,144
173,174,140,106,166
170,150,171,72,129
116,134,192,113,117
118,156,187,80,129
142,150,193,129,154
150,137,179,147,180
136,90,113,103,152
114,61,68,76,71
86,75,133,87,87
112,57,114,108,93
156,39,117,120,92
183,80,119,133,80
186,150,160,151,149
204,180,191,171,188
210,193,197,168,196
211,196,198,171,198
210,195,195,182,196
201,201,196,192,195
192,183,175,149,187
171,109,132,88,173
127,109,131,112,184
143,98,144,132,184
152,133,173,117,180
156,179,185,122,175
157,201,179,139,178
148,198,163,79,176
147,190,170,109,93
130,182,171,159,110
164,176,123,90,158
169,138,158,82,140
115,128,189,109,121
128,164,186,91,131
141,158,185,125,139
159,152,174,135,177
153,110,110,96,157
134,58,70,76,85
101,65,138,81,66
124,43,127,107,78
160,39,130,114,80
178,97,116,136,93
183,159,149,158,161
196,183,184,162,187
200,193,193,158,195
201,194,196,169,197
199,193,192,171,197
195,197,192,175,200
193,184,160,126,188
184,126,121,84,176
161,115,126,116,196
153,130,119,129,201
153,164,167,142,198
162,195,193,135,198
167,194,199,127,201
165,180,191,108,203
159,168,181,123,130
117,184,173,158,101
164,179,111,117,132
173,140,162,75,137
124,116,186,115,121
145,150,181,109,123
149,169,185,118,125
167,159,163,126,162
168,121,100,98,144
150,63,87,83,92
117,59,124,72,54
131,34,137,106,64
164,34,137,105,77
175,89,121,119,114
179,159,136,134,175
188,181,169,142,189
191,191,186,161,195
193,192,190,163,195
193,192,191,164,198
192,194,187,171,201
192,189,162,117,182
190,161,138,106,152
183,145,137,155,142
189,155,103,115,156
182,179,162,132,160
176,180,189,142,161
173,164,199,115,172
173,150,197,115,184
176,125,186,148,117
130,162,180,156,112
162,179,163,140,132
178,136,187,91,110
134,111,184,133,114
137,130,181,119,122
152,172,177,118,128
176,170,132,121,159
177,126,84,103,147
157,65,107,97,93
96,55,116,67,57
118,35,117,103,59
162,27,120,72,71
174,64,120,92,132
180,147,131,125,180
187,175,157,145,191
188,187,175,159,195
190,191,184,159,196
190,192,190,162,196
189,192,184,167,198
191,188,171,126,160
198,185,159,130,120
187,193,148,123,135
174,184,112,101,161
184,165,165,129,169
192,165,193,144,162
197,159,195,122,148
194,134,193,130,139
